user_id,signup_date,last_login_date,total_sessions,avg_session_minutes,subscription_tier,monthly_spend,support_tickets,churned
U001000,2022-03-02,2022-06-25,44,11.96,free,0.0,0,0
U001001,2023-03-10,2023-07-14,27,8.19,free,0.0,1,0
U001002,2023-09-03,2023-09-26,54,2.98,basic,7.88,1,0
U001003,2023-11-14,2023-11-16,4,14.64,free,0.0,0,1
U001004,2023-04-22,2024-01-06,20,10.54,basic,9.95,0,0
U001005,2022-05-21,2022-12-11,14,4.07,premium,33.27,1,0
U001006,2022-06-06,2023-08-10,37,24.67,free,0.0,0,0
U001007,2022-04-22,2023-02-01,8,17.21,premium,24.7,1,1
U001008,2023-12-10,2023-12-21,19,20.7,basic,13.08,1,0
U001009,2023-01-02,2023-05-25,57,17.06,free,2.93,0,0
U001010,2023-01-06,2023-02-28,66,6.04,free,0.0,3,0
U001011,2023-09-08,2023-12-09,30,9.63,premium,29.81,0,0
U001012,2022-04-07,2023-01-03,34,1.54,premium,34.42,0,0
U001013,2022-09-02,2023-06-04,22,19.21,free,3.47,1,0
U001014,2022-11-24,2023-01-04,73,15.23,basic,9.22,2,0
U001015,2022-03-13,2023-12-07,25,3.41,premium,28.73,2,0
U001016,2022-12-11,2023-10-03,15,33.72,free,0.0,0,0
U001017,2023-10-06,2023-10-12,7,13.97,basic,17.38,0,1
U001018,2023-02-23,2023-04-05,21,9.44,premium,32.29,1,0
U001019,2023-09-04,2023-12-11,13,33.75,free,4.18,0,0
U001020,2022-03-06,2023-03-15,15,8.3,free,0.0,1,0
U001021,2022-12-18,2023-04-05,34,6.77,basic,9.02,1,0
U001022,2022-01-16,2023-11-11,37,31.9,free,0.78,1,0
U001023,2022-03-06,2022-08-29,52,16.09,basic,11.03,0,0
U001024,2023-04-10,2023-07-03,37,24.14,basic,10.51,2,0
U001025,2023-03-15,2023-12-26,12,29.24,free,0.0,3,0
U001026,2023-01-18,2023-02-16,16,6.56,free,0.83,2,0
U001027,2023-11-14,2024-01-05,54,5.66,free,2.93,1,0
U001028,2023-03-17,2023-04-20,29,22.53,free,0.0,2,0
U001029,2022-05-15,2023-04-03,52,15.2,free,1.16,0,0
U001030,2022-07-23,2023-09-02,61,13.87,premium,27.11,0,0
U001031,2022-02-26,2023-06-11,73,19.39,free,11.56,4,0
U001032,2023-07-27,2023-09-29,36,6.3,premium,24.62,1,0
U001033,2022-06-13,2023-03-10,41,6.07,premium,28.99,1,0
U001034,2022-10-04,2024-01-07,118,42.87,basic,10.04,1,0
U001035,2022-12-11,2023-04-03,43,6.85,enterprise,104.97,0,0
U001036,2023-07-28,2023-12-06,89,17.97,basic,16.36,1,0
U001037,2023-10-29,2023-11-13,61,18.46,free,2.32,0,0
U001038,2023-07-06,2023-12-28,11,12.28,basic,14.62,0,0
U001039,2023-10-12,2023-12-01,71,29.32,free,0.03,0,0
U001040,2022-08-24,2023-05-22,28,13.97,free,0.0,1,0
U001041,2022-05-29,2022-06-10,69,18.4,basic,9.66,0,0
U001042,2023-08-21,2024-01-06,39,7.88,premium,28.22,0,0
U001043,2022-02-28,2023-02-12,55,17.43,free,1.74,0,0
U001044,2022-09-27,2022-12-17,51,20.68,basic,13.82,2,0
U001045,2023-03-22,2023-12-04,21,9.55,premium,30.77,2,0
U001046,2022-07-15,2022-11-01,40,12.03,premium,27.54,0,0
U001047,2023-02-14,2024-01-08,104,22.98,basic,11.99,0,0
U001048,2023-05-27,2023-07-06,34,7.49,free,0.0,0,0
U001049,2023-07-04,2023-11-20,25,9.34,enterprise,100.6,1,0
U001050,2022-06-21,2022-06-22,65,8.99,basic,8.0,0,0
U001051,2022-08-03,2022-08-23,72,24.3,free,0.0,1,0
U001052,2022-12-10,2023-05-17,40,6.48,free,0.0,0,0
U001053,2023-04-14,2023-05-25,42,14.07,free,2.95,0,0
U001054,2022-08-06,2022-10-16,33,19.17,enterprise,106.45,2,0
U001055,2022-06-19,2022-10-26,18,12.22,free,2.93,0,0
U001056,2022-08-17,2023-02-03,4,8.61,free,1.03,1,1
U001057,2022-04-04,2023-06-12,94,3.82,enterprise,105.48,1,0
U001058,2022-06-12,2023-01-04,66,9.05,premium,24.85,4,0
U001059,2022-11-03,2023-10-13,72,16.2,basic,10.9,5,0
U001060,2022-09-24,2023-12-29,10,19.66,basic,7.51,2,0
U001061,2023-08-15,2023-10-18,26,47.95,free,5.27,1,0
U001062,2023-01-04,2023-01-15,48,33.05,basic,13.17,1,0
U001063,2023-04-25,2023-08-16,7,35.65,free,0.22,3,1
U001064,2022-03-10,2022-05-10,7,12.77,free,0.0,1,1
U001065,2023-11-14,2024-01-09,30,17.49,free,0.0,2,0
U001066,2022-07-08,2023-03-09,23,9.0,free,0.0,0,0
U001067,2022-08-06,2023-03-14,21,8.39,basic,6.4,1,0
U001068,2022-05-11,2023-12-23,19,15.67,basic,9.65,2,0
U001069,2022-08-19,2023-10-10,27,55.96,free,0.0,2,0
U001070,2023-09-08,2023-12-28,46,16.81,free,0.0,1,0
U001071,2022-10-22,2023-06-19,15,7.71,premium,26.75,3,0
